original_name	origin	en:france	en:belgium	en:germany	en:irland	en:italy	en:luxembourg	en:netherlands	en:spain	en:switzerland
Timor-Leste	en:timor-leste	0	12	12	0	16	3	11	24	9
Togo	en:togo	37	33	33	21	25	24	33	41	18
Tokelau	en:tokelau	0	7	6	0	0	0	6	10	0
Tonga	en:tonga	0	6	6	0	0	0	6	7	0
Trinité-et-Tobago	en:trinidad-and-tobago	54	42	41	31	28	33	41	44	21
Tunisie	en:tunisia	65	64	64	53	78	55	64	88	71
Turkménistan	en:turkmenistan	0	0	0	0	0	0	0	0	0
Turquie	en:turkey	6	11	11	0	28	2	10	34	21
Tuvalu	en:tuvalu	0	0	0	0	0	0	0	4	0
Ukraine	en:ukraine	15	25	25	14	42	17	25	49	35
Uruguay	en:uruguay	10	1	1	0	0	0	0	9	0
Vanuatu	en:vanuatu	0	0	0	0	0	0	0	7	0
Venezuela	en:venezuela	25	7	7	0	0	0	7	10	0
Vietnam	en:vietnam	0	0	0	0	0	0	0	0	0
Wallis et Futuna	en:wallis-and-futuna	0	6	6	0	0	0	5	7	0
Yémen	en:yemen	21	31	31	18	35	22	30	43	28
Zambie	en:zambia	0	0	0	0	0	0	0	0	0
Zimbabwe	en:zimbabwe	0	0	0	0	2	0	0	10	0
Océan Arctique	en:arctic-sea	0								
Atlantique Nord-Ouest	en:northwest-atlantic-ocean	0								
Atlantique Nord-Est	en:north-east-atlantic-ocean	66								
Atlantique Centre-Ouest	en:central-west-atlantic-ocean	0								
Atlantique Centre-Est	en:central-east-atlantic-ocean	0								
Méditéranée et mer Noire	en:mediterranean-and-black-sea	66								
Atlantique Sud-Ouest	en:southwest-atlantic-ocean	0								
Atlantique Sud-Est	en:southeast-atlantic-ocean	0								
Atlantique Antarctique	en:antartic-atlantic-ocean	0								
Océan Indien Ouest	en:western-indian-ocean	0								
Océan Indien Est	en:eastern-indian-ocean	0								
Océan Indien Antarctique	en:antartic-and-southern-indian-ocean	0								
Pacifique Nord-Ouest	en:northwest-pacific-ocean	0								
Pacifique Nord-Est	en:northeast-pacific-ocean	0								
Pacifique Centre-Ouest	en:west-central-pacific-ocean	0								
Pacifique Centre-Est	en:eastern-central-pacific-ocean	0								
Pacifique Sud-Ouest	en:southwest-pacific-ocean	0								
Pacifique Sud-Est	en:southeast-pacific-ocean	0								
Pacifique Antarctique	en:antarctic-pacific-ocean	0								
